Case,alg,viz,inv,scramble
CLL U-5,RU'R2FRF'RUR'U'RUR',R U' R2 F R F' R U R' U' R U R',R U' R' U R U' R' F R' F' R2 U R',F L2 F' L' F2 L' F' U L2
EG1 U-5,RU'R2FRD'L'U'L,R U' R2 F R D' L' U' L,L' U L D R' F' R2 U R',L' D L2 U' F' U F2 L'
EG2 U-5,RU'R'U2LUL'U2RU'R',R U' R' U2 L U L' U2 R U' R',R U R' U2 L U' L' U2 R U R',L F' L F U L' U' F2 L2
CLL U-6,L'UL2F'L'FL'U'LUL'U'L,L' U L2 F' L' F L' U' L U L' U' L,L' U L U' L' U L F' L F L2 U' L,F' L2 F U L2 U L U' L2
EG1 U-6,L'UL2F'L'DRUR',L' U L2 F' L' D R U R',R U' R' D' L F L2 U' L,L2 U R B2 U2 L F2 L
EG2 U-6,L'ULU2R'U'RU2L'UL,L' U L U2 R' U' R U2 L' U L,L' U' L U2 R' U R U2 L' U' L,L' U L U F U' F R2 F2
CLL T-1,RUR'U'R'FRF',R U R' U' R' F R F',F R' F' R U R U' R',L' F' U' F L F' U F
EG1 T-1,FRU'R2F'RUR'F'R,F R U' R2 F' R U R' F' R,R' F R U' R' F R2 U R' F',L' U L U' L' U L2 F L' F'
EG2 T-1,L'U'LULF'L'F'R2B2,L' U' L U L F' L' F' R2 B2 z2,B2 R2 F L F L' U' L' U L,B' R2 U L' U' L2 U' F
CLL T-2,L'U'LULF'L'F,L' U' L U L F' L' F,F' L F L' U' L' U L,L U L U' L' F U' F'
EG1 T-2,F'L'UL2FL'U'RUR',F' L' U L2 F L' U' R U R',R U' R' U L F' L2 U' L F,L2 U' L' U2 F2 U' L' F L' F
EG2 T-2,RUR'U'R'FRFR2B2,R U R' U' R' F R F R2 B2 z2,B2 R2 F' R' F' R U R U' R',B D2 L' B D R2 U F'
CLL T-3,RU2R2FRF'RU'R'URU2R',R U2 R2 F R F' R U' R' U R U2 R',R U2 R' U' R U R' F R' F' R2 U2 R',F' L2 U2 L' U F' U F' L' F'
EG1 T-3,RU'R2FRURU2R',R U' R2 F R U R U2 R',R U2 R' U' R' F' R2 U R',F U2 L F' L2 U2 L U2 F'
EG2 T-3,R'UR'FU'RUR2,R' U R' F U' R U R2,R2 U' R' U F' R U' R,R2 U' R' D L' D F' L
CLL T-4,RU'R'URU'R'FR'F'RFR'F'R,R U' R' U R U' R' F R' F' R F R' F' R,R' F R F' R' F R F' R U R' U' R U R',F L' F L' U F U2 L2 F'
EG1 T-4,RUR2F'RFR'F'R2U'R'FR'F'R,R U R2 F' R F R' F' R2 U' R' F R' F' R,R' F R F' R U R2 F R F' R' F R2 U' R',U F' L2 F' U2 F' U' F2 L2
EG2 T-4,R2B2R2FRUR'U'F',R2 B2 R2 F R U R' U' F',F U R U' R' F' R2 B2 R2,F' L' U' L U F' L2 F2
CLL T-5,RUR'U2RUR'UR'FRF',R U R' U2 R U R' U R' F R F',F R' F' R U' R U' R' U2 R U' R',F U' L U' F' U L' F' L
EG1 T-5,RUR2F'RFR'F'R,R U R2 F' R F R' F' R,R' F R F' R' F R2 U' R',L U' F L U2 L F' L F'
